data,OEF-AU,CEF-AU,DRE-AU,LRE-AU,EQ-AU,EQ-EXAU,GOVT-AU,CASH-AU
Jun-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Sep-04,101.8,101.8,103.5,111.0,98.1,100.3,103.1,101.4
Dec-04,104.3,108.3,107.1,120.8,108.9,108.1,105.1,102.8
Mar-05,108.3,111.3,110.6,119.3,135.1,109.5,104.7,104.2
Jun-05,113.2,122.9,114.3,125.5,128.3,114.3,108.7,105.7
Sep-05,120.7,125.3,118.3,133.0,154.3,119.8,109.0,107.2
Dec-05,122.4,139.4,123.1,139.8,173.6,128.7,111.2,108.8
Mar-06,126.8,141.3,128.3,145.1,231.4,136.6,111.7,110.3
Jun-06,151.1,161.8,134.4,149.8,220.2,129.5,111.2,111.8
Sep-06,150.6,165.1,140.1,163.9,236.3,137.1,113.7,113.5
Dec-06,172.5,193.0,146.5,186.1,239.3,149.6,113.4,115.3
Mar-07,178.6,196.0,152.7,181.3,267.9,155.1,114.9,117.1
Jun-07,179.2,219.2,159.8,188.1,336.1,165.2,115.0,119.0
Sep-07,193.0,222.9,166.6,198.4,352.0,164.7,116.9,121.0
Dec-07,206.9,247.0,173.2,172.4,393.8,162.3,117.6,123.2
Mar-08,211.5,250.2,175.6,137.6,361.5,141.0,121.5,125.4
Jun-08,210.0,247.7,177.1,124.7,251.8,146.0,121.0,128.1
Sep-08,209.8,249.9,176.5,126.1,222.4,131.4,129.5,130.6
Dec-08,186.8,212.0,173.3,79.3,245.3,95.5,141.4,133.5
Mar-09,183.4,215.5,170.4,61.2,239.7,87.2,140.2,135.3
Jun-09,171.1,193.2,165.8,65.1,249.2,104.2,134.9,136.6
Sep-09,171.0,195.9,167.2,82.1,269.3,125.1,136.7,137.9
Dec-09,169.1,196.5,169.3,78.2,285.0,128.8,137.7,139.2
Mar-10,172.9,198.9,172.5,79.0,280.1,134.6,138.6,140.7
Jun-10,170.3,205.2,176.3,79.0,279.3,129.4,144.5,142.2
Sep-10,173.1,208.2,180.5,82.3,244.6,134.1,146.0,144.1
Dec-10,175.7,214.6,185.4,81.2,285.7,147.1,144.7,145.9
Mar-11,178.8,217.7,190.0,83.8,310.8,147.9,147.4,147.8
Jun-11,181.3,229.5,195.0,82.6,285.9,147.1,151.1,149.7
Sep-11,183.8,231.7,199.6,78.0,262.5,126.0,159.9,151.6
Dec-11,188.0,236.4,204.4,80.0,271.6,136.3,165.4,153.5
Mar-12,190.5,242.2,209.1,85.3,274.5,152.6,164.6,155.3
Jun-12,194.6,249.3,214.1,92.0,295.9,143.6,173.7,157.4
Sep-12,195.4,254.4,218.7,98.2,278.2,157.2,175.6,159.2
Dec-12,198.7,261.3,223.6,104.6,284.7,160.0,174.5,161.0
Mar-13,203.0,267.4,228.5,109.5,309.2,173.1,174.3,162.3
Jun-13,204.4,273.0,233.8,113.2,358.2,173.5,174.1,163.7
Sep-13,205.0,279.7,239.0,114.0,344.2,190.9,175.3,164.9
Dec-13,209.4,287.8,244.5,111.3,351.0,199.6,174.6,165.9
Mar-14,210.2,296.2,250.3,114.2,365.3,203.0,176.9,167.0
Jun-14,219.1,310.7,256.5,127.3,359.7,216.1,183.3,168.2
Sep-14,225.2,319.0,263.2,126.9,374.7,218.9,185.2,169.3
Dec-14,230.0,337.3,270.6,144.1,367.0,223.5,194.1,170.5
Mar-15,237.8,350.6,278.0,157.7,388.4,237.3,200.5,171.8
Jun-15,265.3,383.3,286.5,153.3,467.6,240.3,194.9,172.8
Sep-15,273.6,403.0,296.5,153.8,457.3,217.2,200.1,173.8
Dec-15,296.3,485.9,307.6,161.0,435.9,224.9,199.0,174.8
Mar-16,301.8,500.1,316.2,170.8,431.9,223.6,203.9,176.0
Jun-16,314.9,533.8,324.8,184.5,486.3,227.3,211.0,177.1
Sep-16,320.3,547.7,333.0,185.9,554.0,241.1,212.7,178.1
Dec-16,343.4,590.5,344.0,182.2,552.7,250.6,204.1,178.9
Mar-17,354.9,600.7,353.3,183.2,578.0,261.9,206.6,179.8
Jun-17,378.7,649.0,363.4,181.6,586.2,274.3,208.9,180.6
Sep-17,388.0,684.3,372.7,177.7,632.6,283.2,208.0,181.5
Dec-17,409.1,720.3,384.9,194.7,650.4,300.8,211.4,182.3
Mar-18,416.1,733.5,394.0,180.9,667.6,296.2,213.6,183.1
Jun-18,433.4,775.6,405.8,199.4,689.0,307.7,215.2,184.1